Falar para o marido que ele "não faz nada direito" ao invés de pedir ajuda com clareza,2,1,2,4,2
Comunicar a necessidade de apoio de forma objetiva sem atacar a autoestima do parceiro,7,9,9,7,9
Recusar-se a tirar os sapatos ao entrar na casa da amiga que tem bebê pequeno engatinhando,1,1,1,3,1
Tirar os sapatos na porta, respeitando o ambiente limpo onde a criança brinca,7,8,8,6,8
Limpar o óculos na gravata do chefe durante a reunião,2,2,3,4,2
Limpar o óculos no lenço apropriado discretamente no bolso,6,7,6,6,6
Comer 10 docinhos antes de cantar parabéns e colocar a culpa nas crianças,2,1,1,4,1
Cantar parabéns primeiro e comer os doces junto com todos, participando do momento de alegria,7,8,8,6,8
Bater no computador porque a internet está lenta como se a máquina fosse a culpada,2,2,3,4,2
Ligar para a operadora de internet com paciência e pedir o reparo do sinal sem descontar nos objetos,6,8,7,6,7
Tirar foto da comida e não deixar a família comer até postar no Instagram,3,2,2,4,2
Aproveitar a refeição quente com as pessoas amadas e deixar as redes sociais de lado,7,10,9,8,9
Lavar o cabelo com sabonete porque "é tudo igual" e ficar com os fios ásperos,1,1,2,4,1
Usar os produtos certos para o próprio cabelo, mantendo a hidratação e a autoestima,7,8,7,6,7
Tirar fotos escondidas de estranhos no trem para mandar em grupos de fofoca,1,1,1,3,1
Respeitar a privacidade alheia no transporte público e usar o tempo para ler um livro,8,9,8,7,9
Criticar quem vai ao psicólogo dizendo que "terapia é falta de Deus",1,1,1,4,1
Apoiar quem faz terapia entendendo que a saúde mental é tão importante quanto a física,8,10,9,8,10
Acumular 5 pacotes de curso online, não assistir nenhum e reclamar que não aprende nada,3,2,3,4,3
Escolher um único curso, finalizar e aplicar o conhecimento na prática antes de comprar outro,7,9,8,7,8
Andar de skate no corredor do prédio e quebrar o vaso da vizinha de propósito,1,1,1,3,1
Assumir o erro, pedir desculpas à vizinha e comprar um vaso novo igual,7,9,8,6,8
Jogar água na planta artificial e ficar um mês achando que está cuidando dela muito bem,5,6,6,6,5
Descobrir que a planta é artificial, rir de si mesmo e doar a planta, comprando uma real para cuidar,7,9,8,6,8
Comer batata frita e não lavar a mão antes de mexer no volante do carro,2,2,3,4,2
Usar álcool em gel ou lavar as mãos e preservar a limpeza do veículo e a própria higiene,6,8,7,6,7
Mandar indireta pra pessoa e quando ela pergunta, dizer: "Não era pra você",2,1,1,4,1
Abordar os problemas cara a cara, de peito aberto, sem fugir da responsabilidade da fala,7,10,9,7,10
Criticar quem assiste reality show, mas acompanhar as fofocas no Twitter escondido,3,2,2,4,2
Assumir sem culpa que adora um reality show como entretenimento leve para relaxar,6,8,7,6,7
Zombar de quem compra roupa em brechó dizendo que é "roupa de defunto",2,1,1,4,1
Comprar roupas estilosas em brechós, economizando dinheiro e ajudando o planeta (Moda circular),7,9,9,7,9
Recusar ir ao banheiro na casa de outra pessoa e passar o dia inteiro com dor na barriga,2,2,4,5,2
Ir ao banheiro com naturalidade, usar bom ar e viver sem dores desnecessárias,7,8,7,6,7
Tentar limpar a tela do computador com álcool em gel e manchar a película,2,2,3,4,2
Usar produto específico para telas e manter o equipamento de trabalho impecável,6,8,7,6,7
Dizer que "odeia rotina", mas comer o mesmo lanche todo dia,3,2,3,4,3
Entender a própria dieta como uma escolha e não reclamar dela,7,9,8,7,8
Derrubar café nos documentos da empresa, culpar a mesa "que estava bamba",2,1,2,4,2
Pedir desculpas, secar os documentos e tentar salvar o que sobrou sem inventar desculpas,6,8,8,6,8
Mandar 15 vídeos longos pro WhatsApp do grupo achando que todos têm tempo de ver,3,2,3,4,3
Enviar um vídeo longo só se for muito bom e com um resumo do que se trata,6,8,8,6,8
Ouvir música triste no repeat depois do término para chorar mais ainda,5,6,6,5,6
Mudar a playlist e colocar uma música animada para dar o primeiro passo na superação,7,9,8,8,9
Mandar mensagem de madrugada dizendo "eu nunca vou te abandonar" para alguém que mal conhece,2,2,3,4,2
Construir laços de confiança devagar, sem pressa de declarações irreais de madrugada,7,9,8,7,8
Pagar um lanche caro no aeroporto com nota de 100 reais e o garçom não ter troco,4,4,4,5,4
Andar com dinheiro trocado ou cartão e facilitar as transações em viagens,6,8,7,6,7
Zombar do idoso que digita com um dedo só no celular,1,1,1,3,1
Ter paciência e ensinar o idoso a usar a função de áudio facilitando a comunicação dele,8,10,9,7,10
Colocar 3 meias juntas na hora de guardar e nunca mais achar os pares corretos,3,3,3,4,3
Fazer bolinhas organizadas de meias e manter a gaveta prática para o dia a dia,6,8,7,6,7
Recusar-se a usar guarda-chuva por "estilo", tomar um temporal e passar 3 dias espirrando,2,2,3,5,2
Fazer as pazes com o guarda-chuva e proteger a saúde do corpo com inteligência,7,8,7,6,7
Esquecer onde estacionou o carro e apertar o alarme igual bobo no shopping inteiro,4,4,4,5,4
Tirar uma foto ou anotar a letra do pilar do estacionamento do shopping,6,8,7,6,7
Derrubar a taça de vinho na camisa branca na primeira data amorosa e ficar chorando de raiva,3,2,3,4,3
Rir da própria falta de jeito, jogar água no vinho e focar na pessoa que está na frente,7,9,8,7,8
Postar indireta no Facebook e quando a tia pergunta, dizer "não é pra você, tia",3,2,2,4,2
Resolver conflitos diretamente com a pessoa em vez de usar as redes sociais como escudo,8,10,9,8,9
Zombar de quem faz meditação dizendo que é "para quem não tem o que fazer",2,1,1,4,1
Tentar fechar os olhos e respirar por cinco minutos descobrindo os benefícios da pausa mental,8,10,9,7,9
Recusar-se a usar o mapa (GPS) por puro orgulho e ficar rodando perdido por 2 horas,2,2,3,4,2
Usar o GPS e chegar no destino rápido e sem estresse,6,8,7,6,7
Zombar da roupa de quem está na academia dizendo que é "brega",1,1,1,4,1
Focar no próprio exercício e não julgar os outros, já que o importante é estar lá treinando,8,9,8,7,9
Passar 4 horas assistindo tutoriais de pintura e não pintar um único quadro,4,4,4,5,4
Comprar tintas baratas e pintar a primeira tela com liberdade e sem cobrança de perfeição,7,10,8,8,9
Morder a caneta Bic do colega, deixar a tampa toda estragada e devolver fingindo nada,1,1,2,4,1
Oferecer-se para comprar uma caneta nova após estragar a do colega sem querer,7,9,8,6,8
Limpar as janelas da casa ouvindo música alta no sábado de manhã incomodando os vizinhos,3,2,2,4,2
Usar fones de ouvido ou abaixar o volume para curtir a limpeza sem invadir o espaço alheio,6,8,8,6,8
Derrubar café na própria mesa e fingir que já estava ali para o próximo cliente sentar,2,1,2,4,2
Chamar o garçom e pedir um pano para ajudar a limpar a sujeira que fez na mesa,6,8,8,6,8
Escrever a mão uma carta para um amigo distante sem motivo nenhum, só para mandar abraços,7,10,10,6,10
